NCDS,Length,rawseq.p1,avsims.p1,sdsims.p1,z.score.p1,rawseq.m1,avsims.m1,sdsims.m1,z.score.m1,rawseq.01,avsims.01,sdsims.01,z.score.01,prod.type
S1,148,0.006756757,0.017878379,0.010119192,-1.09906219,0.006756757,0.016621622,0.009309375,-1.059669968,0.006756757,0.01795946,0.010299034,-1.087743083,5'
S3,260,0.015384615,0.022930769,0.008539402,-0.883686516,0.015384615,0.022911538,0.008579706,-0.877293906,0.011538462,0.0221,0.008754259,-1.206445678,5'
S5,188,0.015957447,0.021409575,0.009819245,-0.555249165,0.005319149,0.021398936,0.010050294,-1.599932079,0.015957447,0.021329787,0.009961741,-0.539297327,intra
S6,210,0.038095238,0.026028571,0.010480181,1.151379624,0.00952381,0.026209524,0.010546183,-1.582156724,0.023809524,0.026980952,0.010514345,-0.301628713,intra
S7,86,0.011627907,0.027523256,0.016844055,-0.943677069,0.046511628,0.025906977,0.016019162,1.286250222,0.046511628,0.026825581,0.016837787,1.16915879,5'
S8,1058,0.025519849,0.021710775,0.004344767,0.876703935,0.014177694,0.02139414,0.004052623,-1.780685175,0.02362949,0.021751418,0.004332165,0.433518135,inter
S10,81,0,0.030567901,0.018251614,-1.67480537,0.024691358,0.030333333,0.018288053,-0.308506068,0.049382716,0.030160494,0.018841141,1.020226035,5'
S11,109,0.036697248,0.028963303,0.015205846,0.508616557,0.027522936,0.028073395,0.014629915,-0.037625556,0.027522936,0.028642202,0.015141339,-0.073921205,inter
S12,86,0.023255814,0.032813954,0.018975159,-0.503718555,0.034883721,0.03172093,0.01811284,0.174615948,0.023255814,0.031941861,0.018071602,-0.48064618,5'
S14,78,0.025641026,0.028371795,0.017092241,-0.15976658,0.025641026,0.028923077,0.017240002,-0.190374165,0.038461538,0.029525641,0.018018026,0.495942058,3'PT
S15,637,0.01255887,0.019847724,0.00525956,-1.385829589,0.026687598,0.019392465,0.005291554,1.378637207,0.010989011,0.019437991,0.005165981,-1.635503295,3'PT
S16,197,0.015228426,0.023401015,0.010422936,-0.784096681,0.010152284,0.023659899,0.009832306,-1.373799198,0.030456853,0.023116751,0.009974258,0.735904556,5'
S17,150,0.033333333,0.0169,0.010270017,1.600127133,0.026666667,0.016553333,0.009941909,1.01724264,0.013333333,0.017366667,0.010060378,-0.400912726,5'
S18,96,0.041666667,0.022729167,0.013876668,1.364700815,0.020833333,0.022666667,0.014437308,-0.126985838,0.03125,0.023552083,0.014526765,0.529912674,3'
S19,203,0.054187192,0.026364532,0.010782313,2.580398176,0.019704433,0.025704433,0.010383366,-0.577847344,0.014778325,0.025251231,0.010664553,-0.982029533,5'
S20,133,0.022556391,0.017729323,0.010968077,0.440101545,0.022556391,0.016954887,0.010002387,0.560016673,0.022556391,0.01718797,0.010510617,0.510761739,intra
S21,103,0.038834951,0.023912621,0.014501039,1.029052462,0.009708738,0.022339806,0.014545762,-0.868367573,0.009708738,0.023281554,0.013493146,-1.005904437,inter
S22,81,0.037037037,0.025407407,0.016305555,0.713231156,0,0.023728395,0.01597127,-1.485692396,0.024691358,0.02591358,0.016568067,-0.073769755,intra
S23,176,0.011363636,0.026238636,0.010866592,-1.368874438,0.022727273,0.025755682,0.010575473,-0.286361554,0.034090909,0.026102273,0.011279669,0.708233241,5'
S24,109,0.027522936,0.023844037,0.013987512,0.263013113,0.036697248,0.023577982,0.013524794,0.970015936,0.018348624,0.024733945,0.01437776,-0.444110988,5'
S26,81,0.037037037,0.016950617,0.013764818,1.459257904,0,0.016222222,0.013299939,-1.219721593,0,0.016641975,0.013319952,-1.249402003,inter
S27,100,0.02,0.03056,0.015998198,-0.660074337,0.02,0.02967,0.016144713,-0.598957697,0.01,0.03033,0.015679188,-1.296623267,5'
S28,122,0.024590164,0.022270492,0.012493573,0.18566923,0.032786885,0.022565574,0.012725793,0.803196399,0.008196721,0.022737705,0.013154396,-1.105408732,5'
S29,71,0.014084507,0.031098591,0.018857091,-0.902264554,0.042253521,0.032549296,0.020654004,0.46984718,0.042253521,0.030732394,0.020160657,0.571465848,5'
S30,72,0.013888889,0.025138889,0.017543462,-0.641264545,0.027777778,0.024972222,0.018304549,0.153270951,0,0.024819445,0.017062092,-1.45465421,5'
S32,109,0.018348624,0.026422019,0.014673618,-0.550197962,0.009174312,0.026926606,0.014457209,-1.227919867,0.018348624,0.027100918,0.014237315,-0.614743262,inter
S33,112,0.026785714,0.01975,0.012394269,0.567658653,0.026785714,0.019232143,0.01233369,0.612433998,0.017857143,0.018767857,0.01224705,-0.07436191,inter
S34,69,0.014492754,0.019304348,0.015655816,-0.307335868,0,0.019927536,0.015806835,-1.260691118,0.014492754,0.019811594,0.016278224,-0.326745732,intra
S35,98,0.020408163,0.021530612,0.013953013,-0.080444943,0.010204082,0.021591837,0.013992711,-0.813834773,0.020408163,0.02194898,0.014351805,-0.107360481,5'
S36,112,0,0.020919643,0.012980142,-1.611665127,0,0.020044643,0.012432579,-1.612267413,0.026785714,0.020651786,0.012960701,0.473271352,inter
S38,97,0.010309278,0.021103093,0.013986586,-0.771726215,0.010309278,0.020793814,0.013260014,-0.790688187,0.020618557,0.021804124,0.013798909,-0.085917423,intra
S39,86,0.011627907,0.018488372,0.014114255,-0.486066402,0.011627907,0.019465116,0.014284983,-0.548632735,0.023255814,0.018453488,0.013806595,0.347828375,inter
S40,65,0.030769231,0.036446154,0.021729013,-0.261260037,0.061538462,0.035215385,0.020670903,1.273436267,0,0.039338462,0.022855129,-1.721209349,5'
S42,91,0.010989011,0.017307692,0.01302919,-0.484963489,0.021978022,0.016494506,0.012583787,0.435760447,0.021978022,0.016912088,0.01279564,0.395910966,intra
S43,218,0.02293578,0.025711009,0.010174696,-0.272757978,0.02293578,0.025917431,0.010218617,-0.291786194,0.027522936,0.026591743,0.010065234,0.092515751,5'
S44,78,0.025641026,0.023230769,0.016126545,0.149458965,0.038461538,0.021935898,0.015239119,1.084422302,0,0.023115385,0.016457458,-1.404553751,inter
S45,115,0.026086957,0.030608696,0.015707301,-0.287874963,0.017391304,0.030034783,0.015386673,-0.821716191,0.034782609,0.030304348,0.015163422,0.295333146,intra
S46,301,0.013289037,0.021598007,0.007867238,-1.056148306,0.023255814,0.021398671,0.007966684,0.233113659,0.013289037,0.021229236,0.007984264,-0.994480988,intra
S47,92,0.054347826,0.031717391,0.016942949,1.335684496,0.032608696,0.032641304,0.017719887,-0.001840209,0.02173913,0.033021739,0.017017057,-0.66301765,intra
S48,178,0.02247191,0.023219101,0.010610213,-0.070421889,0.028089888,0.02308427,0.010813438,0.46290721,0.016853933,0.023241573,0.010232662,-0.624240303,intra
S49,139,0.021582734,0.022978417,0.011867419,-0.117606305,0.014388489,0.022539568,0.011698016,-0.696791584,0.028776978,0.022697842,0.012368936,0.491484176,5'
S50,94,0.010638298,0.021117021,0.014099383,-0.743204375,0.021276596,0.019,0.013396611,0.16993819,0.010638298,0.021489362,0.013884113,-0.781545343,intra
S51,233,0.025751073,0.028103004,0.010009422,-0.234971715,0.017167382,0.029257511,0.010199034,-1.185418941,0.021459227,0.028407725,0.010378537,-0.66950653,5'
S52,122,0.024590164,0.023606557,0.012793284,0.076884607,0.008196721,0.024844262,0.013147019,-1.2662598,0.032786885,0.023581967,0.012914333,0.712767586,inter
S53,113,0.026548673,0.023309735,0.013298804,0.243551091,0.026548673,0.023902655,0.0143358,0.184574134,0.008849558,0.023920354,0.01385526,-1.087731046,intra
S54,119,0.042016807,0.023857143,0.013135942,1.382440987,0.025210084,0.023907563,0.012967768,0.10044296,0.016806723,0.023495798,0.012818117,-0.52184539,intra
S55,194,0.015463918,0.020515464,0.009497687,-0.531871199,0.020618557,0.020747423,0.009665314,-0.013332809,0.015463918,0.021340206,0.010226908,-0.574590874,5'
S56,176,0.022727273,0.023005682,0.010947363,-0.025431592,0.028409091,0.024198864,0.011343597,0.371154513,0,0.0235,0.010764149,-2.183173099,intra
S57,81,0.037037037,0.022197531,0.015756225,0.941818632,0,0.021160494,0.015088509,-1.402424408,0.024691358,0.021740741,0.014831895,0.198937308,inter
S59,282,0.014184397,0.022758865,0.008221026,-1.042992492,0.028368794,0.022450355,0.008326126,0.710827485,0.021276596,0.022890071,0.00811213,-0.198896576,5'
S60,465,0.002150538,0.019713978,0.006198407,-2.833541006,0.012903226,0.019333333,0.006136401,-1.047862994,0.017204301,0.019617204,0.005802626,-0.415829555,3'MT
S61,672,0.017857143,0.017174107,0.004781545,0.142848354,0.019345238,0.017715774,0.004704351,0.346373841,0.008928571,0.017654762,0.004582509,-1.904238773,inter
S62,630,0.036507937,0.020373016,0.005646518,2.85749917,0.015873016,0.020322222,0.005243649,-0.848494309,0.001587302,0.020355556,0.00521733,-3.597291086,3'MT
S63,895,0.018994413,0.01867933,0.004055366,0.077695428,0.018994413,0.018934078,0.004259551,0.014164581,0.017877095,0.018755307,0.004074078,-0.215561013,inter
S64,218,0.04587156,0.026752294,0.010331645,1.850553943,0.032110092,0.026862386,0.010365725,0.506255633,0.013761468,0.026123853,0.010044478,-1.230764301,5'
S65,609,0.019704433,0.022505747,0.005802699,-0.482760517,0.024630542,0.022417077,0.00553643,0.399800053,0.019704433,0.022640394,0.005711632,-0.514031879,inter
S66,157,0.012738854,0.019127389,0.010053777,-0.635436258,0,0.018611465,0.009818616,-1.895528365,0.01910828,0.01810828,0.010244561,0.097612735,5'
S67,118,0.025423729,0.026516949,0.014399914,-0.075918524,0.008474576,0.026262712,0.013473581,-1.320223286,0.042372881,0.026211864,0.014102266,1.145987249,inter
S68,81,0.012345679,0.023,0.015654393,-0.680596228,0.037037037,0.022876543,0.015345118,0.922801263,0.012345679,0.024320988,0.016091108,-0.744219014,5'
S69,89,0.011235955,0.024325843,0.014861752,-0.880776884,0.02247191,0.023168539,0.015216279,-0.045781836,0.02247191,0.02352809,0.015286743,-0.069091223,intra
S70,745,0.02147651,0.022514094,0.005033742,-0.206125762,0.018791946,0.022193289,0.005047227,-0.67390327,0.018791946,0.022241611,0.004942562,-0.69795078,3'MT
S71,85,0.011764706,0.032070588,0.018814268,-1.079281034,0.023529412,0.030094118,0.017357678,-0.378201855,0.058823529,0.031847059,0.018458267,1.461484424,inter
S73,197,0.045685279,0.033873097,0.012080509,0.9777885,0.025380711,0.033324873,0.012452381,-0.637963329,0.050761421,0.034319797,0.012751315,1.289406191,inter
S74,76,0,0.031513158,0.019521528,-1.614277209,0,0.031052631,0.019429986,-1.598180886,0.078947368,0.031605263,0.019536707,2.423238698,intra
S75,466,0.025751073,0.025611588,0.006754949,0.020649319,0.02360515,0.025066524,0.00696939,-0.209684571,0.027896996,0.025545064,0.007047509,0.333725261,inter
S76,90,0.011111111,0.030022222,0.016694249,-1.132791941,0.022222222,0.0312,0.016943849,-0.529854696,0.055555556,0.032544444,0.017800422,1.292728472,inter
S77,63,0.031746032,0.023761905,0.01756976,0.454424379,0,0.026079365,0.018394174,-1.417805694,0,0.025126984,0.018744315,-1.340512291,5'
S78,71,0.042253521,0.023056338,0.016952269,1.132425582,0,0.021943662,0.016593582,-1.322418639,0.014084507,0.022887324,0.016651752,-0.528642079,3'
S79,174,0.005747126,0.026126437,0.011499838,-1.772139009,0.022988506,0.026752874,0.011021383,-0.341551277,0.022988506,0.02712069,0.011608796,-0.355952823,inter
S80,130,0.046153846,0.028992308,0.013958798,1.229442411,0.038461538,0.028992308,0.013628151,0.694828703,0,0.029638461,0.013821815,-2.144324797,5'
S82,73,0,0.016726027,0.014164862,-1.180811174,0,0.015205479,0.013413882,-1.133562931,0.02739726,0.015917808,0.014002123,0.819836534,5'
S83,87,0.022988506,0.014850575,0.012590987,0.646329879,0,0.015218391,0.0125925,-1.208528213,0.022988506,0.015448276,0.012742005,0.591761666,5'
S84,121,0.033057851,0.027785124,0.014117178,0.373497249,0.008264463,0.027322314,0.012773215,-1.492016754,0.033057851,0.027024793,0.013674721,0.441183222,5'
S85,73,0.01369863,0.03369863,0.020385728,-0.981078533,0.01369863,0.030589041,0.018411884,-0.917364618,0.054794521,0.032109589,0.019544925,1.160655904,inter
S86,88,0.022727273,0.029125,0.017302417,-0.369759151,0.011363636,0.028556818,0.016893417,-1.017744504,0.056818182,0.028943182,0.016459194,1.69358232,intra
S87,75,0,0.025706667,0.017315388,-1.484613937,0.013333333,0.025546667,0.01681552,-0.726313191,0,0.02764,0.018064116,-1.530105361,5'
S88,195,0,0.0274,0.011056009,-2.478290219,0.020512821,0.028123077,0.011032642,-0.689794512,0.030769231,0.027497436,0.011293474,0.289706686,intra
S89,144,0.013888889,0.020541667,0.011378978,-0.584655102,0.013888889,0.020194444,0.011339243,-0.556082579,0.020833333,0.020833333,0.010830734,-2.33E-08,inter
S90,182,0.010989011,0.022153846,0.0104895,-1.064382021,0.016483516,0.022560439,0.010469008,-0.580467944,0.021978022,0.022302198,0.010120801,-0.032030622,5'
S91,71,0.014084507,0.020971831,0.016164672,-0.426072618,0.028169014,0.020366197,0.016294395,0.478865074,0.014084507,0.020352113,0.016667247,-0.376043233,5'
S92,129,0.031007752,0.030945736,0.014534525,0.004266772,0.023255814,0.030767442,0.014199795,-0.528995515,0.03875969,0.03248062,0.014678588,0.4277707,5'
S93,112,0.026785714,0.02025,0.012468475,0.524179117,0.017857143,0.019910714,0.012490612,-0.164409171,0,0.020223214,0.012192126,-1.658711076,5'
S94,118,0.008474576,0.030279661,0.014843188,-1.469029814,0.025423729,0.030389831,0.014838181,-0.334683983,0.016949153,0.030220339,0.01455209,-0.911978,5'
S95,235,0.017021277,0.018314894,0.008155636,-0.158616285,0.017021277,0.018646809,0.00861655,-0.188652251,0.004255319,0.018357447,0.008368246,-1.685195091,5'
S96,69,0.028985507,0.029608696,0.019578503,-0.03183025,0.014492754,0.027463768,0.019236294,-0.674299008,0.043478261,0.02973913,0.019877683,0.691183709,5'
S97,1185,0.001687764,0.018977215,0.003824787,-4.520370008,0.026160338,0.019064135,0.003864822,1.836100993,0.015189873,0.019145148,0.003940923,-1.003641746,3'PT
S98,999,0.03003003,0.019764765,0.004150132,2.473479328,0.004004004,0.019531532,0.003986664,-3.894867498,0.017017017,0.019459459,0.004304874,-0.567366765,5'
S99,60,0.033333333,0.017316667,0.016418565,0.975521665,0,0.018166667,0.01625193,-1.117815948,0.033333333,0.01805,0.015977676,0.95654295,intra
S100,591,0.021996616,0.019852792,0.00540129,0.39690964,0.013536379,0.020121827,0.0055351,-1.189761472,0.015228426,0.019812183,0.00520584,-0.880502782,inter
S101,191,0.015706806,0.021685864,0.010100178,-0.591975505,0.015706806,0.020586387,0.00996003,-0.489916341,0.010471204,0.021157068,0.009901929,-1.079169965,5'
S102,80,0.0125,0.0257875,0.016539639,-0.803373043,0,0.026275,0.016749027,-1.568747846,0.075,0.0267,0.016962023,2.847537772,5'
