CDS,Length,rawseq.p1,avsims.p1,sdsims.p1,z.score.p1,rawseq.m1,avsims.m1,sdsims.m1,z.score.m1,highest.exp,lowest.exp
BSU00010,1341,0.019388516,0.017879195,0.001662184,0.908034929,0.025354213,0.031426547,0.002737691,-2.218049511,n,n
BSU00020,1137,0.021987687,0.021333333,0.002184409,0.299556365,0.030782762,0.031869833,0.003142079,-0.345971914,n,n
BSU00030,216,0.032407407,0.025638889,0.003887955,1.740894013,0.018518519,0.029550926,0.005866888,-1.880453051,n,n
BSU00040,1113,0.022461815,0.018795148,0.002232594,1.642334862,0.021563342,0.020377359,0.002782538,0.426223463,n,n
BSU00050,246,0.024390244,0.026398374,0.004622824,-0.434394648,0.024390244,0.02196748,0.004278717,0.566236059,n,n
BSU00060,1917,0.015127804,0.015430882,0.00143572,-0.211098045,0.030255608,0.03010433,0.002459733,0.061501792,n,n
BSU00070,2466,0.017437145,0.017257908,0.001237848,0.144797668,0.02838605,0.028293187,0.002230731,0.041628949,n,n
BSU00080,948,0.026371308,0.024373418,0.002090283,0.955799116,0.023206751,0.024352321,0.002911894,-0.39341063,n,n
BSU00090,1467,0.017723245,0.018916155,0.001674942,-0.712209929,0.02726653,0.027907294,0.00277018,-0.23130768,n,n
BSU00100,1332,0.023273273,0.022039039,0.001712711,0.720631972,0.029279279,0.036845345,0.003208982,-2.357777742,n,n
BSU00110,885,0.01920904,0.017362712,0.002043078,0.903699177,0.033898305,0.029589831,0.003453151,1.247693604,n,n
BSU00120,591,0.028764805,0.024270728,0.003039518,1.478549573,0.028764805,0.026944162,0.004074295,0.446860892,y,n
BSU00130,1278,0.017214397,0.015750391,0.001840706,0.795349964,0.036776213,0.036904538,0.003052277,-0.042042381,n,n
BSU00140,654,0.02293578,0.019238532,0.002294356,1.611453164,0.032110092,0.033232416,0.003567868,-0.314564326,n,n
BSU00150,624,0.025641026,0.024469551,0.002737317,0.427964621,0.030448718,0.033897436,0.003817525,-0.903391049,n,n
BSU00160,1284,0.021028037,0.018040498,0.001878372,1.590493736,0.021028037,0.0248419,0.002725483,-1.399334937,n,n
BSU00170,546,0.023809524,0.022979853,0.002719022,0.305135684,0.029304029,0.032276557,0.003959411,-0.750750099,n,n
BSU00180,486,0.022633745,0.020699588,0.002671798,0.72391573,0.034979424,0.031676955,0.003609955,0.914822758,n,n
BSU00190,1692,0.023640662,0.020622931,0.001761353,1.713302696,0.030732861,0.031137116,0.002410796,-0.167685296,n,n
BSU00200,324,0.021604938,0.019441358,0.002684219,0.806037079,0.021604938,0.02317284,0.004697296,-0.333788214,y,n
BSU00210,597,0.023450586,0.021971524,0.002928387,0.505077298,0.025125628,0.022938023,0.003656478,0.598281964,n,n
BSU00220,225,0.031111111,0.027697778,0.004147996,0.822887375,0.026666667,0.030497778,0.004386128,-0.873460744,n,n
BSU00230,264,0.022727273,0.02632197,0.005476714,-0.656360119,0.011363636,0.015420455,0.004751535,-0.853791227,n,n
BSU00240,195,0.025641026,0.023466667,0.002912471,0.746568618,0.035897436,0.034476923,0.006674482,0.212827441,n,n
BSU00250,615,0.024390244,0.024063415,0.003017583,0.108308341,0.022764228,0.024986992,0.003486244,-0.637581302,n,n
BSU00260,1161,0.032730405,0.029031869,0.002313873,1.598417789,0.027562446,0.033185185,0.002971654,-1.892124684,n,n
BSU00270,1443,0.018711019,0.020267498,0.001841942,-0.845020927,0.026334026,0.028932086,0.002463287,-1.054712713,n,n
BSU00280,639,0.028169014,0.023621283,0.002881605,1.578193439,0.017214397,0.025134585,0.003635485,-2.178578345,n,n
BSU00290,330,0.024242424,0.029790909,0.003549222,-1.56329613,0.021212121,0.021584848,0.004968736,-0.075014457,y,n
BSU00300,441,0.031746032,0.036260771,0.003414326,-1.322292828,0.034013605,0.036108844,0.0042723,-0.490424108,y,n
BSU00310,990,0.021212121,0.019021212,0.002222057,0.985982511,0.024242424,0.025211111,0.003013458,-0.321453618,n,n
BSU00320,828,0.025362319,0.023419082,0.002656169,0.731593795,0.030193237,0.032512077,0.003268671,-0.70941362,n,n
BSU00330,360,0.013888889,0.014225,0.002375106,-0.141514121,0.036111111,0.036527778,0.004653343,-0.08954144,n,n
BSU00340,744,0.009408602,0.014044355,0.002412858,-1.921270658,0.025537634,0.032201613,0.003349026,-1.989826044,n,n
BSU00350,300,0.02,0.015313333,0.00304046,1.541433178,0.026666667,0.031326667,0.004461424,-1.044509549,n,n
